AcX,AcY,AcZ,GyX,GyY,GyZ,time
-1596,-13888,-3544,3929,30187,-226,86439
-4,-14244,-3840,3757,26556,-1828,86461
676,-13680,-5212,2180,25904,-2768,86482
2164,-14232,-5076,27,29235,-3402,86503
916,-14552,-5416,-2206,32720,-3478,86524
-2504,-14704,-5080,-3782,32767,-3696,86545
-7968,-18128,-1784,-3893,30148,-2672,86566
-17068,-18676,2056,-1653,18508,-930,86587
-20940,-18916,-696,-1115,4349,832,86608
3692,-12804,-4956,-1039,-14633,-2854,86629
5508,-15492,-1444,-2043,-5993,-3190,86650
-1640,-20144,248,-1595,-4134,-1746,86671
1648,-15960,48,-1787,-4433,-1502,86692
2548,-16416,-1468,-2533,103,-1408,86713
-1004,-17456,-1872,-1994,218,-1500,86734
-324,-16416,-1312,-1322,-2148,-1917,86755
2036,-16304,-1808,-1328,-1638,-1767,86776
1856,-16748,-1304,-1426,703,-1428,86797
236,-16464,-1036,-1499,988,-1365,86818
220,-16368,-1408,-1527,-200,-1561,86839
1008,-16316,-1776,-1357,-528,-1768,86860
412,-16424,-1308,-1327,-962,-1997,86881
912,-16300,-1564,-1387,-1574,-2190,86902
1548,-16356,-1892,-1330,-1530,-2306,86923
1656,-16380,-2116,-1201,-1237,-2114,86945
1624,-16124,-1992,-1192,-1214,-1963,86966
2312,-16124,-2116,-1054,-1168,-1536,86987
2508,-16072,-2060,-977,-628,-919,87008
2152,-16120,-2204,-942,-343,-349,87029
2196,-16048,-2320,-930,-390,146,87050
1876,-16268,-2044,-779,-593,310,87071
1276,-16436,-2092,-603,-587,254,87092
1544,-16384,-2148,-614,-1208,230,87113
2204,-16152,-2556,-713,-732,269,87134
1036,-16152,-1996,-872,-407,16,87156
1392,-16380,-2176,-776,-567,-306,87177
920,-16308,-2060,-886,-860,-662,87198
1656,-16052,-2288,-894,-994,-929,87219
1568,-16088,-2560,-996,-460,-1099,87240
1160,-16288,-2356,-908,-825,-1318,87261
1600,-16192,-2588,-829,-1285,-1455,87282
1940,-16124,-2528,-662,-1392,-1421,87303
1976,-15980,-2596,-649,-1360,-1344,87324
2364,-16116,-2744,-523,-1480,-1026,87345
2500,-15792,-2656,-424,-1159,-721,87366
2340,-16136,-2444,-424,-672,-387,87387
2144,-15988,-2620,-284,-612,-162,87408
